PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"AALTO, ANTTI",495000,0,FINLAND,24,ANA,14,C,L,1,74,190,73,3,5,8,24,-12,2,0,0,61,4.8999999911
"ADAMS, KEVYN",467500,0,USA DC,24,TOR,42,C,R,1,73,195,1,0,0,0,0,0,0,0,0,1,0
"ALBELIN, TOMMY",1100000,0,SWEDEN,35,CAL,5,D,L,11,73,195,60,1,5,6,8,-11,0,0,0,54,1.8999999985
"ALFREDSSON, DANIEL",2600000,0,SWEDEN,26,OTT,11,R,R,3,71,194,58,11,22,33,14,8,3,0,5,163,6.6999999881
"ALLEN, CHRIS",775000,0,CAN ONT,21,FLA,12,D,R,1,74,193,1,0,0,0,0,1,0,0,0,0,0
"ALLISON, JAMIE",450000,0,CAN ONT,24,CHI,38,D,L,3,73,195,39,2,2,4,62,0,0,0,0,24,8.2999999821
"ALLISON, JASON",2600000,0,CAN ONT,24,BOS,41,C,R,5,74,205,82,23,53,76,68,5,5,1,3,158,14.599999994
"AMONTE, TONY",2900000,0,USA MA,29,CHI,10,R,L,8,72,190,82,44,31,75,60,0,14,3,8,256,17.1999999881
"ANDERSSON, MIKAEL",850000,0,SWEDEN,33,PHI,14,R,L,13,71,184,47,2,4,6,4,-7,0,0,0,51,3.8999999985
"ANDREYCHUK, DAVE",1200000,0,CAN ONT,35,NJ,23,L,R,16,75,220,52,15,13,28,20,1,4,0,3,110,13.599999994
"ANDRUSAK, GREG",350000,0,CAN BC,29,PIT,49,D,R,3,73,190,7,0,1,1,4,4,0,0,0,2,0
"ARMSTRONG, DEREK",385000,0,CAN ONT,26,NYR,18,C,R,4,71,188,3,0,0,0,0,0,0,0,0,1,0
"ARNOTT, JASON",1800000,0,CAN ONT,24,NJ,25,R,R,5,75,210,74,27,27,54,79,10,8,0,3,200,13.5
"ARVEDSON, MAGNUS",1100000,0,SWEDEN,27,OTT,20,R,L,1,74,198,80,21,26,47,50,33,0,4,6,136,15.3999999762
"ASHAM, ARRON",-999,0,CAN MAN,21,MON,45,R,R,0,71,176,7,0,0,0,0,-4,0,0,0,5,0
"ATCHEYNUM, BLAIR",500000,0,CAN SAS,30,STL,23,R,R,2,74,196,65,10,8,18,18,-8,2,0,2,93,10.7999999821
"AUBIN, SERGE",375000,0,CAN QUE,24,COL,44,C,L,0,73,194,1,0,0,0,0,0,0,0,0,1,0
"AUCOIN, ADRIAN",1500000,0,CAN ONT,26,VAN,6,D,R,4,73,194,82,23,11,34,77,-14,18,2,3,174,13.1999999881
"AUDET, PHILIPPE",400000,0,CAN ONT,22,DET,22,L,L,0,74,175,4,0,0,0,0,-2,0,0,0,3,0
"AUDETTE, DONALD",2200000,0,CAN QUE,29,LA,10,R,R,9,68,184,49,18,18,36,51,7,6,0,2,152,11.7999999821
"AUGUSTA, PATRIK",-999,0,CZECH,29,WAS,14,R,L,1,70,169,2,0,0,0,0,0,0,0,0,4,0
"AXELSSON, P.J.",650000,0,SWEDEN,24,BOS,11,L,L,1,73,175,77,7,10,17,18,-14,0,0,2,146,4.799999997
"BABYCH, DAVE",-999,0,CAN ALB,38,LA,44,D,L,18,74,215,41,2,6,8,22,-2,2,0,0,49,4.099999994
"BAKER, JAMIE",450000,0,CAN ONT,33,SJ,13,C,L,9,72,190,1,0,1,1,0,1,0,0,0,1,0
"BANNISTER, DREW",550000,0,CAN ONT,25,TB,55,D,R,3,73,200,21,1,2,3,24,-4,0,0,0,29,3.3999999985
"BARNABY, MATTHEW",1000000,0,CAN ONT,26,PIT,36,L,L,6,72,185,62,6,16,22,177,-12,1,0,3,79,7.599999994
"BARNES, STU",1500000,0,CAN ALB,28,BUF,41,C,R,7,70,174,81,20,16,36,30,-11,13,0,3,180,11.099999994
"BARON, MURRAY",2000000,0,CAN BC,32,VAN,23,D,L,9,75,222,81,2,6,8,115,-23,0,0,0,53,3.799999997
"BARTECKO, LUBOS",-999,0,CZECH,23,STL,56,L,L,0,73,200,32,5,11,16,6,4,0,0,1,37,13.5
"BASHKIROV, ANDREI",450000,0,USSR,29,MON,35,L,L,0,72,198,10,0,0,0,0,-3,0,0,0,4,0
"BASSEN, BOB",-999,0,CAN ALB,34,CAL,28,C,L,13,70,190,41,1,2,3,35,-13,0,0,0,47,2.099999994
"BAST, RYAN",925000,0,CAN ALB,24,PHI,32,D,L,0,74,190,2,0,1,1,0,0,0,0,0,1,0
"BATES, SHAWN",440000,0,USA MA,24,BOS,17,C,R,1,71,180,33,5,4,9,2,3,0,0,0,30,16.6999999881
"BATTAGLIA, BATES",500000,0,USA IL,23,CAR,13,L,L,1,74,185,60,7,11,18,22,7,0,0,0,52,13.5
"BAUMGARTNER, KEN",-999,0,CAN MAN,33,BOS,22,L,L,11,73,205,69,1,3,4,119,-6,0,0,0,15,6.6999999881
"BAUMGARTNER, NOLAN",700000,0,CAN ALB,23,WAS,38,D,R,2,73,200,5,0,0,0,0,-3,0,0,0,1,0
"BELAK, WADE",580000,0,CAN SAS,23,CAL,29,D,R,2,76,223,31,0,1,1,94,1,0,0,0,7,0
"BELANGER, KEN",525000,0,CAN ONT,25,BOS,16,R,L,4,76,225,54,2,5,7,182,-1,0,0,0,19,10.5
"BELLOWS, BRIAN",-999,0,CAN ONT,35,WAS,23,L,R,16,71,210,76,17,19,36,26,-12,8,0,3,166,10.1999999881
"BERANEK, JOSEF",700000,0,CZECH,29,EDM,20,C,L,6,72,189,66,19,30,49,23,6,7,0,2,160,11.8999999762
"BERARD, BRYAN",1500000,0,USA RI,22,TOR,34,D,L,2,73,190,69,9,25,34,48,1,4,0,5,135,6.6999999881
"BEREHOWSKY, DRAKE",-999,0,CAN ONT,27,NAS,15,D,R,7,73,211,74,2,15,17,140,-9,0,0,0,79,2.5
"BEREZIN, SERGEI",1750000,0,USSR,27,TOR,94,R,R,2,70,180,76,37,22,59,12,16,9,1,4,263,14.099999994
"BERG, BILL",-999,0,CAN ONT,31,OTT,9,L,L,9,73,200,44,2,2,4,28,4,0,0,0,40,5
"BERGEVIN, MARC",-999,0,CAN QUE,34,STL,4,D,L,14,72,197,52,1,1,2,99,-14,0,0,0,40,2.5
"BERTUZZI, TODD",1000000,0,CAN ONT,24,VAN,44,L,L,3,75,224,32,8,8,16,44,-6,1,0,3,72,11.099999994
"BERUBE, CRAIG",700000,0,CAN ALB,33,PHI,32,L,L,12,74,215,77,5,4,9,194,-10,0,0,0,52,9.599999994
"BETIK, KAREL",360000,0,CZECH,20,TB,6,D,L,0,74,208,3,0,2,2,2,-3,0,0,0,2,0
"BEUKEBOOM, JEFF",-999,0,CAN ONT,34,NYR,23,D,R,13,76,230,45,0,9,9,60,-2,0,0,0,8,0
"BICANEK, RADIM",400000,0,CZECH,24,CHI,32,D,L,3,73,199,14,0,0,0,10,-4,0,0,0,13,0
"BLACK, JAMES",650000,0,CAN SAS,30,WAS,28,R,L,8,71,185,75,16,14,30,14,5,1,1,3,135,11.8999999762
"BLAKE, JASON",900000,0,USA MN,25,LA,11,C,L,0,70,180,1,1,0,1,0,1,0,0,0,5,20
"BLAKE, ROB",5267500,0,CAN ONT,29,LA,4,D,R,9,75,220,62,12,23,35,128,-7,5,1,2,216,5.599999994
"BLOUIN, SYLVAIN",-999,0,CAN QUE,25,MON,53,L,L,2,74,210,5,0,0,0,19,0,0,0,0,1,0
"BODGER, DOUG",700000,0,CAN BC,33,LA,8,D,L,14,74,210,65,3,11,14,34,1,0,0,0,67,4.5
"BOHONOS, LONNY",425000,0,CAN MAN,26,TOR,16,L,R,3,71,190,7,3,0,3,4,3,0,0,0,13,23.0999999642
"BOILEAU, PATRICK",350000,0,CAN QUE,24,WAS,41,D,R,1,72,190,4,0,1,1,2,-4,0,0,0,7,0
"BOMBARDIR, BRAD",525000,0,CAN BC,27,NJ,6,D,L,1,74,195,56,1,7,8,16,-4,0,0,0,47,2.099999994
"BONDRA, PETER",3870362,0,USSR,31,WAS,12,R,L,8,71,200,66,31,24,55,56,-1,6,3,5,284,10.8999999762
"BONIN, BRIAN",450000,0,USA MN,25,PIT,17,C,L,0,70,185,5,0,0,0,0,-2,0,0,0,2,0
"BONK, RADEK",800000,0,CZECH,23,OTT,14,C,L,4,75,210,81,16,16,32,48,15,0,1,6,110,14.5
"BONSIGNORE, JASON",575000,0,USA NY,23,TB,64,C,R,3,76,220,23,0,3,3,8,-4,0,0,0,12,0
"BONVIE, DENNIS",350000,0,CAN NS,26,CHI,44,R,R,3,71,205,11,0,0,0,44,-4,0,0,0,1,0
"BORDELEAU, SEBASTIEN",500000,0,CAN BC,24,NAS,71,C,R,3,70,188,72,16,24,40,26,-14,1,2,3,168,9.5
"BOTTERILL, JASON",825000,0,CAN ALB,23,DAL,28,L,L,1,75,205,17,0,0,0,23,-2,0,0,0,8,0
"BOUCHARD, JOEL",675000,0,CAN QUE,25,NAS,42,D,L,4,72,190,64,4,11,15,60,-10,0,0,0,78,5.099999994
"BOUCHER, PHILIPPE",800000,0,CAN QUE,26,LA,43,D,R,6,74,195,45,2,6,8,32,-12,1,0,0,87,2.299999997
"BOUGHNER, BOB",850000,0,CAN ONT,28,NAS,6,D,R,3,73,206,79,3,10,13,137,-6,0,0,1,59,5.099999994
"BOURQUE, RAY",6000000,0,CAN QUE,38,BOS,77,D,L,19,71,219,81,10,47,57,34,-7,8,0,3,262,3.799999997
"BOYLE, DAN",415000,0,CAN ONT,23,FLA,26,D,R,0,71,190,22,3,5,8,6,0,1,0,1,31,9.6999999881
"BRASHEAR, DONALD",750000,0,USA IN,27,VAN,8,L,L,5,75,223,82,8,10,18,209,-25,2,0,1,112,7.099999994
"BRENNAN, RICHARD",-999,0,USA NY,26,NYR,12,D,R,2,74,200,24,1,3,4,23,-4,0,0,0,36,2.799999997
"BREWER, ERIC",925000,0,CAN BC,20,NYI,4,D,L,0,75,195,63,5,6,11,32,-14,2,0,0,63,7.8999999911
"BRIERE, DANIEL",800000,0,CAN QUE,21,PHO,8,C,R,1,69,160,64,8,14,22,30,-3,2,0,2,90,8.8999999762
"BRIND'AMOUR, ROD",3500000,0,CAN ONT,29,PHI,17,C,L,10,73,200,82,24,50,74,47,3,10,0,3,190,12.599999994
"BRISEBOIS, PATRICE",2000000,0,CAN QUE,28,MON,43,D,R,8,74,200,54,3,9,12,28,-8,1,0,1,90,3.299999997
"BROWN, BRAD",600000,0,CAN ONT,23,CHI,2,D,R,1,75,206,66,1,7,8,205,-4,0,0,0,26,3.799999997
"BROWN, CURTIS",1233333,0,CAN SAS,23,BUF,37,C,L,4,72,190,78,16,31,47,56,23,5,1,3,128,12.5
"BROWN, DOUG",950000,0,USA MA,35,DET,17,R,R,12,70,188,80,9,19,28,42,5,3,1,1,180,5
"BROWN, KEVIN",-999,0,ENGLAND,25,EDM,42,R,R,4,73,212,12,4,2,6,0,-2,2,0,0,13,30.7999999523
"BROWN, ROB",550000,0,CAN ONT,31,PIT,44,R,L,9,71,183,58,13,11,24,16,-15,9,0,1,78,16.6999999881
"BROWN, SEAN",440000,1,CAN ONT,22,EDM,23,D,L,2,75,205,51,0,7,7,188,1,0,0,0,27,0
"BRUNET, BENOIT",1100000,0,CAN QUE,31,MON,17,L,L,9,71,194,60,14,17,31,31,-1,4,2,0,115,12.1999999881
"BRUNETTE, ANDREW",425000,0,CAN ONT,26,NAS,19,L,L,3,72,212,77,11,20,31,26,-10,7,0,1,65,16.8999999762
"BRYLIN, SERGEI",475000,0,USSR,25,NJ,18,L,L,4,69,185,47,5,10,15,28,8,3,0,1,51,9.7999999821
"BUCHANAN, JEFF",-999,0,CAN ALB,27,COL,32,D,R,0,70,176,6,0,0,0,6,1,0,0,0,1,0
"BUCHBERGER, KELLY",800000,0,CAN SAS,32,EDM,16,R,L,12,74,200,52,4,4,8,68,-6,0,2,1,29,13.7999999821
"BULIS, JAN",800000,0,CZECH,21,WAS,8,C,L,1,72,194,38,7,16,23,6,3,3,0,3,57,12.2999999821
"BURE, PAVEL",8000000,0,USSR,28,FLA,10,R,L,7,71,189,11,13,3,16,4,3,5,1,0,44,29.5
"BURE, VALERI",1100000,0,USSR,25,CAL,8,R,R,4,69,179,80,26,27,53,22,0,7,0,4,260,10
"BUREAU, MARC",1100000,0,CAN QUE,33,PHI,28,C,R,9,72,202,71,4,6,10,10,-2,0,0,0,52,7.6999999881
"BURR, SHAWN",865508,0,CAN ONT,33,SJ,7,L,L,14,73,205,18,0,1,1,29,-3,0,0,0,22,0
"BURT, ADAM",1200000,0,USA MI,30,PHI,2,D,L,10,72,195,68,0,4,4,60,4,0,0,0,61,0
"BUTENSCHON, SVEN",385000,0,GERMANY,23,PIT,22,D,L,1,77,210,17,0,0,0,6,-7,0,0,0,8,0
"BUTSAYEV, VIACHESLAV",465000,0,USSR,28,OTT,7,C,L,4,74,200,3,0,1,1,4,-1,0,0,0,5,0
"BUZEK, PETR",325000,0,CZECH,22,DAL,34,D,L,1,72,190,2,0,0,0,2,0,0,0,0,0,0
"BYLSMA, DAN",400000,0,USA MI,28,LA,42,R,L,3,74,215,8,0,0,0,2,-1,0,0,0,3,0
"CAIRNS, ERIC",440000,0,CAN ONT,25,NYI,33,D,L,2,77,217,9,0,3,3,23,1,0,0,0,2,0
"CAMPBELL, JIM",-999,0,USA MA,26,STL,10,R,R,3,73,185,55,4,21,25,41,-8,1,0,0,99,4
"CARBONNEAU, GUY",800000,0,CAN QUE,39,DAL,21,C,R,17,71,184,74,4,12,16,31,-3,0,0,2,60,6.6999999881
"CARKNER, TERRY",2100000,0,CAN ONT,33,FLA,2,D,L,12,75,210,62,2,9,11,54,0,0,0,0,25,8
"CARNEY, KEITH",1650000,0,USA RI,29,PHO,3,D,L,7,73,205,82,2,14,16,62,15,0,2,0,62,3.1999999955
"CARPENTER, BOBBY",-999,0,USA MA,36,NJ,19,C,L,17,72,200,56,2,8,10,36,-3,0,0,0,69,2.8999999985
"CARTER, ANSON",850000,0,CAN ONT,25,BOS,33,R,R,2,73,185,55,24,16,40,22,7,6,0,6,123,19.5
"CASSELS, ANDREW",1850000,0,CAN ONT,30,CAL,21,C,L,9,72,185,70,12,25,37,18,-12,4,1,3,97,12.3999999762
"CHAMBERS, SHAWN",2000000,0,USA MI,32,DAL,27,D,L,11,74,200,61,2,9,11,18,6,1,0,1,82,2.3999999985
"CHARA, ZDENO",-999,0,CZECH,22,NYI,3,D,L,1,80,240,59,2,6,8,83,-8,0,1,0,56,3.599999994
"CHARRON, ERIC",400000,1,CAN QUE,29,CAL,38,D,L,6,75,195,12,0,1,1,14,-6,0,0,0,9,0
"CHASE, KELLY",-999,0,CAN SAS,31,STL,39,R,R,9,71,193,45,3,7,10,143,2,0,0,1,25,12
"CHEBATURKIN, VLADIMIR",385000,0,USSR,24,NYI,55,D,L,1,74,213,8,0,0,0,12,6,0,0,0,4,0
"CHELIOS, CHRIS",3735849,0,USA IL,37,DET,24,D,R,15,73,190,75,9,27,36,93,1,3,1,1,187,4.799999997
"CHIASSON, STEVE",-999,0,CAN ONT,32,CAR,3,D,L,12,72,205,28,1,8,9,16,7,1,0,0,74,1.3999999985
"CHORSKE, TOM",400000,0,USA MN,32,CAL,26,L,R,9,73,212,26,0,3,3,8,-8,0,0,0,44,0
"CICCARELLI, DINO",-999,0,CAN ONT,39,FLA,22,R,R,18,70,185,14,6,1,7,27,-1,5,0,1,23,26.0999999642
"CICCONE, ENRICO",-999,0,CAN QUE,29,WAS,39,D,L,7,76,220,59,3,1,4,127,-8,0,0,0,52,5.799999997
"CLARK, BRETT",409000,0,CAN SAS,22,MON,29,D,L,1,72,182,61,2,2,4,16,-3,0,0,0,36,5.599999994
"CLARK, WENDEL",1400000,0,CAN SAS,32,DET,71,L,L,13,71,194,77,32,16,48,37,-24,11,0,3,215,14.8999999762
"CLEARY, DANIEL",725000,0,CAN NFD,20,CHI,25,L,L,1,72,203,35,4,5,9,24,-1,0,0,0,49,8.1999999881
"CLOUTIER, SYLVAIN",400000,0,CAN QUE,25,CHI,14,C,L,0,72,195,7,0,0,0,0,-1,0,0,0,3,0
"COFFEY, PAUL",2500000,0,CAN ONT,38,CAR,77,D,L,18,73,190,54,2,12,14,28,-7,1,0,0,87,2.299999997
"CONROY, CRAIG",-999,0,USA NY,28,STL,22,C,R,4,74,198,69,14,25,39,38,14,0,1,1,134,10.3999999762
"CONVERY, BRANDON",-999,0,CAN ONT,27,LA,11,C,R,3,73,182,15,2,7,9,12,4,0,0,1,14,14.2999999821
"COOKE, MATT",350000,1,CAN ONT,21,VAN,24,L,L,0,71,192,30,0,2,2,27,-12,0,0,0,22,0
"CORBET, RENE",750000,0,CAN QUE,26,CAL,20,L,L,5,72,187,73,13,18,31,68,1,3,0,1,127,10.1999999881
"CORKUM, BOB",-999,0,USA MA,31,PHO,21,C,R,8,74,222,77,9,10,19,17,-9,0,0,0,146,6.1999999881
"CORSON, SHAYNE",2250000,0,CAN ONT,33,MON,27,C,L,13,72,199,63,12,20,32,147,-10,7,0,4,142,8.5
"COTE, PATRICK",450000,0,CAN QUE,24,NAS,17,R,L,3,74,199,70,1,2,3,242,-7,0,0,0,21,4.799999997
"COTE, SYLVAIN",1500000,0,CAN QUE,33,TOR,3,D,R,14,71,190,79,5,24,29,28,22,0,0,1,119,4.1999999881
"COURTNALL, GEOFF",-999,0,CAN BC,37,STL,14,L,L,15,73,195,24,5,7,12,28,2,1,0,2,60,8.2999999821
"COURTNALL, RUSS",-999,0,CAN BC,34,LA,19,R,R,15,71,185,57,6,13,19,19,-9,0,1,1,77,7.799999997
"CRAIG, MIKE",450000,0,CAN ONT,28,SJ,25,R,R,7,72,185,1,0,0,0,0,-1,0,0,0,1,0
"CRAVEN, MURRAY",1400000,0,CAN ALB,35,SJ,32,L,L,16,75,190,43,4,10,14,18,-3,0,1,1,55,7.299999997
"CROSS, CORY",900000,0,CAN SAS,28,TB,4,D,L,5,77,219,67,2,16,18,92,-25,0,0,0,96,2.099999994
"CROWE, PHIL",275000,0,CAN ALB,29,OTT,26,L,L,4,74,215,8,0,1,1,4,1,0,0,0,2,0
"CROWLEY, MIKE",-999,0,USA MN,24,ANA,25,D,L,1,71,180,20,2,3,5,16,-10,1,0,1,41,4.8999999911
"CROWLEY, TED",375000,0,USA MA,29,NYI,36,D,R,1,74,188,13,1,2,3,2,-1,1,0,0,20,5
"CULLEN, JOHN",-999,0,CAN ONT,35,TB,12,C,R,9,70,180,4,0,0,0,2,-2,0,0,0,3,0
"CULLEN, MATT",400000,0,USA MN,22,ANA,11,L,L,1,73,190,75,11,14,25,47,-12,5,1,1,112,9.7999999821
"CULLIMORE, JASSEN",775000,0,CAN ONT,26,TB,5,D,L,4,76,220,78,5,12,17,81,-22,1,1,1,73,6.799999997
"CUMMINS, JIM",660000,0,USA MI,29,PHO,15,R,R,7,74,210,55,1,7,8,190,3,0,0,0,26,3.799999997
"CUNNEYWORTH, RANDY",500000,0,CAN ONT,38,BUF,17,L,L,15,72,198,14,2,2,4,0,1,0,0,1,12,16.6999999881
"CZERKAWSKI, MARIUSZ",1000000,0,POLAND,27,NYI,25,L,L,5,71,195,78,21,17,38,14,-10,4,0,1,205,10.1999999881
"DACKELL, ANDREAS",800000,0,SWEDEN,26,OTT,10,R,R,2,70,191,77,15,35,50,30,9,6,0,3,107,14
"DAHL, KEVIN",-999,0,CAN SAS,30,TOR,4,D,R,6,71,190,3,0,0,0,2,0,0,0,0,0,0
"DAIGLE, ALEXANDRE",1000000,0,CAN QUE,24,TB,21,L,L,5,72,190,63,9,8,17,4,-13,4,0,1,82,11
"DAIGNEAULT, J.J.",750000,0,CAN QUE,33,PHO,33,D,L,13,71,190,70,2,9,11,70,-12,1,0,1,65,3.099999994
"DAMPHOUSSE, VINCENT",3000000,0,CAN QUE,31,SJ,25,C,L,12,73,191,77,19,30,49,50,-4,6,2,3,190,10
"DANDENAULT, MATHIEU",650000,0,CAN QUE,23,DET,11,D,R,3,72,174,75,4,10,14,59,17,0,0,0,94,4.299999997
"DANEYKO, KEN",1731137,0,CAN ONT,35,NJ,3,D,L,15,72,215,82,2,9,11,63,27,0,0,0,63,3.1999999955
"DANIELS, JEFF",300000,0,CAN ONT,31,NAS,32,L,L,7,73,200,9,1,3,4,2,-1,0,0,0,8,12.5
"DANIELS, SCOTT",-999,0,CAN SAS,29,NJ,22,L,L,5,75,210,1,0,0,0,0,0,0,0,0,0,0
"DAVIDSSON, JOHAN",875000,0,SWEDEN,23,ANA,22,R,L,0,71,170,64,3,5,8,14,-9,1,0,1,48,6.299999997
"DAWE, JASON",400000,0,CAN ONT,26,MON,21,R,L,5,70,189,59,6,8,14,22,0,1,0,1,81,7.3999999911
"DAZE, ERIC",2000000,0,CAN QUE,24,CHI,55,R,L,4,76,222,72,22,20,42,22,-13,8,0,2,189,11.599999994
"de VRIES, GREG",625000,0,CAN ONT,26,COL,7,D,L,3,75,218,73,1,3,4,64,-7,0,0,0,57,1.799999997
"DEADMARSH, ADAM",1800000,0,CAN BC,24,COL,18,C,R,4,72,195,66,22,27,49,99,-2,10,0,3,152,14.5
"DEAN, KEVIN",475000,0,USA WI,30,NJ,28,D,L,4,74,205,62,1,10,11,22,4,1,0,0,51,2
"DeBRUSK, LOUIE",400000,0,CAN ONT,31,PHO,29,L,L,7,73,215,15,0,0,0,34,-2,0,0,0,6,0
"DELISLE, JONATHAN",300000,0,CAN QUE,22,MON,42,R,R,0,70,193,1,0,0,0,0,0,0,0,0,0,0
"DELISLE, XAVIER",425000,0,CAN QUE,22,TB,43,C,R,0,71,182,2,0,0,0,0,0,0,0,0,1,0
"DELMORE, ANDY",-999,0,CAN ONT,22,PHI,43,D,R,0,73,192,2,0,1,1,0,-1,0,0,0,2,0
